Student ID,"Cyber 
Bullying",Time Spent,"Password 
Security","Enable 
Security","Sharing
Location","Accept 
Unknown","Number of 
Friends",Number of Groups,"Click on 
Unknown
Link "
Student 1,4,3,1,3,3,1,5,1,3
Student 2,4,3,1,1,4,4,5,2,5
Student 3,5,3,3,1,2,5,1,1,5
Student 4,5,2,1,1,3,3,3,2,3
Student 5,4,5,2,1,4,1,3,1,2
Student 6,4,3,1,1,1,4,2,2,4
Student 7,5,4,1,2,1,5,1,1,3
Student 8,5,3,2,2,3,5,4,2,5
Student 9,5,2,2,2,5,3,3,2,4
Student 10,5,4,1,1,4,5,1,1,5
Student 11,5,2,2,2,4,4,2,1,5
Student 12,5,2,1,1,5,4,1,1,5
Student 13,4,3,4,1,3,5,2,1,4
Student 14,5,3,2,1,3,5,1,1,5
Student 15,5,3,2,2,4,4,2,2,4
Student 16,4,2,1,1,5,4,5,1,3
Student 17,1,3,2,2,1,2,5,2,3
Student 18,5,2,2,3,4,5,3,2,5
Student 19,5,3,2,4,3,4,1,2,4
Student 20,5,3,1,1,3,4,1,1,5
Student 21,4,2,2,2,3,5,1,1,4
Student 22,3,2,2,1,3,4,3,5,5
Student 23,5,4,3,4,5,2,2,2,4
Student 24,4,3,2,1,3,4,3,1,4
Student 25,5,3,1,2,4,4,1,1,4
Student 26,5,1,2,2,5,5,3,1,5
Student 27,3,3,2,1,5,3,2,1,5
Student 28,4,2,2,1,4,5,5,1,5
Student 29,4,2,4,2,4,5,3,1,5
Student 30,4,2,2,2,4,3,1,1,4
Student 31,5,3,2,2,4,4,2,2,3
Student 32,4,2,1,1,4,4,2,1,5
Student 33,4,3,2,2,1,5,3,3,4
Student 34,5,2,2,4,3,4,1,3,5
Student 35,4,2,4,2,5,3,2,1,4
Student 36,4,2,2,2,2,2,2,2,3
Student 37,5,2,2,1,4,5,4,2,4
Student 38,5,2,2,2,4,3,5,1,4
Student 39,4,2,2,4,3,5,4,3,5
Student 40,5,2,1,1,5,4,1,1,4
Student 41,4,4,2,2,4,4,5,1,4
Student 42,5,2,1,1,3,4,5,1,4
Student 43,5,4,2,1,2,5,4,2,5
Student 44,3,2,1,1,3,5,2,1,5
Student 45,5,4,3,2,4,4,3,3,5
Student 46,4,3,1,1,3,4,5,1,5
Student 47,5,2,5,2,5,4,1,1,4
Student 48,4,3,1,2,4,4,3,3,5
Student 49,4,3,4,1,3,2,5,3,5
Student 50,4,3,2,1,3,3,5,2,3
Student 51,5,3,1,1,4,5,2,3,5
Student 52,5,3,3,2,3,4,1,1,4
