Student ID,Fake Profile,Time Spent,"Password Security","Enable Security","Sharing Location","Accept Unknown","Number of Friends",Number of Groups,"Click on Unknown Link"
Student 1,1,3,1,3,3,1,5,1,3
Student 2,1,3,1,1,4,4,5,2,5
Student 3,1,3,3,1,2,5,1,1,5
Student 4,1,2,1,1,3,3,3,2,3
Student 5,1,5,2,1,4,1,3,1,2
Student 6,1,3,1,1,1,4,2,2,4
Student 7,1,4,1,2,1,5,1,1,3
Student 8,1,3,2,2,3,5,4,2,5
Student 9,1,2,2,2,5,3,3,2,4
Student 10,1,4,1,1,4,5,1,1,5
Student 11,1,2,2,2,4,4,2,1,5
Student 12,1,2,1,1,5,4,1,1,5
Student 13,1,3,4,1,3,5,2,1,4
Student 14,1,3,2,1,3,5,1,1,5
Student 15,1,3,2,2,4,4,2,2,4
Student 16,1,2,1,1,5,4,5,1,3
Student 17,2,3,2,2,1,2,5,2,3
Student 18,1,2,2,3,4,5,3,2,5
Student 19,1,3,2,4,3,4,1,2,4
Student 20,1,3,1,1,3,4,1,1,5
Student 21,2,2,2,2,3,5,1,1,4
Student 22,1,2,2,1,3,4,3,5,5
Student 23,1,4,3,4,5,2,2,2,4
Student 24,1,3,2,1,3,4,3,1,4
Student 25,1,3,1,2,4,4,1,1,4
Student 26,1,1,2,2,5,5,3,1,5
Student 27,2,3,2,1,5,3,2,1,5
Student 28,2,2,2,1,4,5,5,1,5
Student 29,2,2,4,2,4,5,3,1,5
Student 30,1,2,2,2,4,3,1,1,4
Student 31,1,3,2,2,4,4,2,2,3
Student 32,1,2,1,1,4,4,2,1,5
Student 33,1,3,2,2,1,5,3,3,4
Student 34,1,2,2,4,3,4,1,3,5
Student 35,1,2,4,2,5,3,2,1,4
Student 36,1,2,2,2,2,2,2,2,3
Student 37,1,2,2,1,4,5,4,2,4
Student 38,1,2,2,2,4,3,5,1,4
Student 39,1,2,2,4,3,5,4,3,5
Student 40,1,2,1,1,5,4,1,1,4
Student 41,1,4,2,2,4,4,5,1,4
Student 42,1,2,1,1,3,4,5,1,4
Student 43,1,4,2,1,2,5,4,2,5
Student 44,1,2,1,1,3,5,2,1,5
Student 45,1,4,3,2,4,4,3,3,5
Student 46,1,3,1,1,3,4,5,1,5
Student 47,1,2,5,2,5,4,1,1,4
Student 48,2,3,1,2,4,4,3,3,5
Student 49,1,3,4,1,3,2,5,3,5
Student 50,1,3,2,1,3,3,5,2,3
Student 51,1,3,1,1,4,5,2,3,5
Student 52,1,3,3,2,3,4,1,1,4
Student 53,1,3,5,1,4,5,2,1,5
Student 54,2,2,1,3,2,3,2,3,4
Student 55,1,3,1,1,3,5,5,1,5
Student 56,1,3,1,1,5,5,1,2,5
Student 57,1,2,2,3,3,5,3,2,5
Student 58,1,2,4,2,5,4,5,1,4
Student 59,2,2,5,3,1,5,3,2,5
Student 60,1,2,3,2,4,5,4,2,5
Student 61,2,4,2,2,2,3,3,2,3
Student 62,2,2,2,2,4,4,5,1,5
Student 63,1,2,2,1,4,5,3,1,2
Student 64,1,3,4,2,3,2,3,1,5
Student 65,1,3,1,1,3,5,2,5,4
Student 66,2,3,1,2,3,2,5,2,5
Student 67,5,4,1,1,3,4,4,3,3
Student 68,1,3,2,2,4,3,2,1,5
Student 69,1,5,1,4,4,4,1,1,2
Student 70,1,3,2,2,3,4,5,4,3
Student 71,1,2,1,4,4,5,1,1,4
Student 72,1,3,1,1,5,5,1,1,3
Student 73,1,5,1,1,2,4,4,2,4
Student 74,2,5,1,1,1,1,5,2,3
Student 75,1,2,2,2,3,5,1,1,5
Student 76,1,2,1,1,2,4,5,5,5
Student 77,1,3,3,3,3,1,5,5,4
Student 78,1,3,1,1,5,4,3,1,4
Student 79,1,3,4,1,5,3,1,1,5
Student 80,1,3,1,2,4,4,5,2,4
Student 81,2,4,1,1,3,4,4,2,4
Student 82,1,3,2,2,3,2,1,1,5
Student 83,1,3,3,4,3,4,2,2,4
Student 84,1,2,3,2,4,4,2,1,4
Student 85,1,3,2,2,3,3,4,3,5
Student 86,1,2,2,2,4,5,1,1,5
Student 87,1,3,1,1,5,3,1,2,5
Student 88,2,2,2,2,5,4,2,1,4
Student 89,1,2,2,2,2,5,1,1,5
Student 90,1,3,1,1,4,5,2,2,5
Student 91,1,2,2,1,3,2,5,5,2
Student 92,1,2,1,1,4,5,2,1,5
Student 93,1,2,4,2,5,4,1,1,5
Student 94,1,2,2,1,4,3,1,1,4
Student 95,4,3,4,5,5,3,1,1,5
Student 96,1,2,4,1,5,2,5,1,5
Student 97,1,2,1,4,4,5,2,1,2
Student 98,2,2,2,2,4,2,4,1,4
Student 99,2,3,1,1,5,5,1,2,4
Student 100,1,2,1,1,5,5,4,2,5
Student 101,1,2,2,1,4,5,2,1,4
Student 102,1,2,2,2,2,4,5,1,5
Student 103,2,2,1,3,3,3,5,2,3
Student 104,1,2,1,1,5,5,4,1,5
Student 105,1,3,1,1,4,5,4,1,3
Student 106,1,2,2,2,3,5,1,1,4
