Student ID,Location Leakage,Time Spent,Password Security,Enable Security,Sharing Location,Accept Unknown,Number of Friends,Number of Groups,Click on Unknown Link
Student 1,3,3,1,3,3,1,5,1,3
Student 2,3,3,1,1,4,4,5,2,5
Student 3,3,3,3,1,2,5,1,1,5
Student 4,2,2,1,1,3,3,3,2,3
Student 5,4,5,2,1,4,1,3,1,2
Student 6,3,3,1,1,1,4,2,2,4
Student 7,5,4,1,2,1,5,1,1,3
Student 8,4,3,2,2,3,5,4,2,5
Student 9,4,2,2,2,5,3,3,2,4
Student 10,3,4,1,1,4,5,1,1,5
Student 11,4,2,2,2,4,4,2,1,5
Student 12,4,2,1,1,5,4,1,1,5
Student 13,3,3,4,1,3,5,2,1,4
Student 14,4,3,2,1,3,5,1,1,5
Student 15,3,3,2,2,4,4,2,2,4
Student 16,5,2,1,1,5,4,5,1,3
Student 17,4,3,2,2,1,2,5,2,3
Student 18,4,2,2,3,4,5,3,2,5
Student 19,4,3,2,4,3,4,1,2,4
Student 20,4,3,1,1,3,4,1,1,5
Student 21,4,2,2,2,3,5,1,1,4
Student 22,3,2,2,1,3,4,3,5,5
Student 23,4,4,3,4,5,2,2,2,4
Student 24,3,3,2,1,3,4,3,1,4
Student 25,4,3,1,2,4,4,1,1,4
Student 26,4,1,2,2,5,5,3,1,5
Student 27,5,3,2,1,5,3,2,1,5
Student 28,4,2,2,1,4,5,5,1,5
Student 29,3,2,4,2,4,5,3,1,5
Student 30,5,2,2,2,4,3,1,1,4
Student 31,4,3,2,2,4,4,2,2,3
Student 32,5,2,1,1,4,4,2,1,5
Student 33,3,3,2,2,1,5,3,3,4
Student 34,4,2,2,4,3,4,1,3,5
Student 35,4,2,4,2,5,3,2,1,4
Student 36,4,2,2,2,2,2,2,2,3
Student 37,3,2,2,1,4,5,4,2,4
Student 38,5,2,2,2,4,3,5,1,4
Student 39,3,2,2,4,3,5,4,3,5
Student 40,5,2,1,1,5,4,1,1,4
Student 41,4,4,2,2,4,4,5,1,4
Student 42,3,2,1,1,3,4,5,1,4
Student 43,4,4,2,1,2,5,4,2,5
Student 44,4,2,1,1,3,5,2,1,5
Student 45,4,4,3,2,4,4,3,3,5
Student 46,1,3,1,1,3,4,5,1,5
Student 47,3,2,5,2,5,4,1,1,4
Student 48,4,3,1,2,4,4,3,3,5
Student 49,3,3,4,1,3,2,5,3,5
Student 50,3,3,2,1,3,3,5,2,3
Student 51,3,3,1,1,4,5,2,3,5
Student 52,3,3,3,2,3,4,1,1,4
Student 53,4,3,5,1,4,5,2,1,5
Student 54,2,2,1,3,2,3,2,3,4
Student 55,3,3,1,1,3,5,5,1,5
Student 56,5,3,1,1,5,5,1,2,5
Student 57,4,2,2,3,3,5,3,2,5
Student 58,4,2,4,2,5,4,5,1,4
Student 59,3,2,5,3,1,5,3,2,5
Student 60,3,2,3,2,4,5,4,2,5
Student 61,3,4,2,2,2,3,3,2,3
Student 62,4,2,2,2,4,4,5,1,5
Student 63,4,2,2,1,4,5,3,1,2
Student 64,4,3,4,2,3,2,3,1,5
Student 65,3,3,1,1,3,5,2,5,4
Student 66,4,3,1,2,3,2,5,2,5
Student 67,3,4,1,1,3,4,4,3,3
Student 68,4,3,2,2,4,3,2,1,5
Student 69,5,5,1,4,4,4,1,1,2
Student 70,5,3,2,2,3,4,5,4,3
Student 71,4,2,1,4,4,5,1,1,4
Student 72,4,3,1,1,5,5,1,1,3
Student 73,3,5,1,1,2,4,4,2,4
Student 74,3,5,1,1,1,1,5,2,3
Student 75,4,2,2,2,3,5,1,1,5
Student 76,3,2,1,1,2,4,5,5,5
Student 77,3,3,3,3,3,1,5,5,4
Student 78,5,3,1,1,5,4,3,1,4
Student 79,5,3,4,1,5,3,1,1,5
Student 80,4,3,1,2,4,4,5,2,4
Student 81,4,4,1,1,3,4,4,2,4
Student 82,4,3,2,2,3,2,1,1,5
Student 83,3,3,3,4,3,4,2,2,4
Student 84,3,2,3,2,4,4,2,1,4
Student 85,3,3,2,2,3,3,4,3,5
Student 86,4,2,2,2,4,5,1,1,5
Student 87,4,3,1,1,5,3,1,2,5
Student 88,4,2,2,2,5,4,2,1,4
Student 89,4,2,2,2,2,5,1,1,5
Student 90,4,3,1,1,4,5,2,2,5
Student 91,3,2,2,1,3,2,5,5,2
Student 92,5,2,1,1,4,5,2,1,5
Student 93,4,2,4,2,5,4,1,1,5
Student 94,5,2,2,1,4,3,1,1,4
Student 95,5,3,4,5,5,3,1,1,5
Student 96,5,2,4,1,5,2,5,1,5
Student 97,4,2,1,4,4,5,2,1,2
Student 98,3,2,2,2,4,2,4,1,4
Student 99,4,3,1,1,5,5,1,2,4
Student 100,5,2,1,1,5,5,4,2,5
Student 101,3,2,2,1,4,5,2,1,4
Student 102,2,2,2,2,2,4,5,1,5
Student 103,4,2,1,3,3,3,5,2,3
Student 104,4,2,1,1,5,5,4,1,5
Student 105,5,3,1,1,4,5,4,1,3
Student 106,3,2,2,2,3,5,1,1,4
Student 107,4,2,2,1,1,4,5,2,5
Student 108,5,2,1,1,5,5,2,2,2
Student 109,2,3,1,2,2,4,4,1,4
Student 110,5,3,2,1,5,5,1,1,5
Student 111,3,2,1,1,4,4,4,3,5
Student 112,4,3,3,1,4,4,3,1,3
Student 113,4,2,2,4,4,3,2,2,4
Student 114,3,4,1,2,3,5,2,1,5
