Student ID,Spam,Time Spent,"Password 
Security","Enable 
Security","Sharing
Location","Accept 
Unknown","Number of 
Friends",Number of Groups,"Click on 
Unknown
Link "
Student 1,3,3,1,3,3,1,5,1,3
Student 2,2,3,1,1,4,4,5,2,5
Student 3,2,3,3,1,2,5,1,1,5
Student 4,2,2,1,1,3,3,3,2,3
Student 5,1,5,2,1,4,1,3,1,2
Student 6,2,3,1,1,1,4,2,2,4
Student 7,5,4,1,2,1,5,1,1,3
Student 8,1,3,2,2,3,5,4,2,5
Student 9,3,2,2,2,5,3,3,2,4
Student 10,1,4,1,1,4,5,1,1,5
Student 11,2,2,2,2,4,4,2,1,5
Student 12,3,2,1,1,5,4,1,1,5
Student 13,3,3,4,1,3,5,2,1,4
Student 14,3,3,2,1,3,5,1,1,5
Student 15,4,3,2,2,4,4,2,2,4
Student 16,3,2,1,1,5,4,5,1,3
Student 17,1,3,2,2,1,2,5,2,3
Student 18,2,2,2,3,4,5,3,2,5
Student 19,4,3,2,4,3,4,1,2,4
Student 20,3,3,1,1,3,4,1,1,5
Student 21,2,2,2,2,3,5,1,1,4
Student 22,2,2,2,1,3,4,3,5,5
Student 23,1,4,3,4,5,2,2,2,4
Student 24,3,3,2,1,3,4,3,1,4
Student 25,3,3,1,2,4,4,1,1,4
Student 26,4,1,2,2,5,5,3,1,5
Student 27,3,3,2,1,5,3,2,1,5
Student 28,2,2,2,1,4,5,5,1,5
Student 29,1,2,4,2,4,5,3,1,5
Student 30,3,2,2,2,4,3,1,1,4
Student 31,1,3,2,2,4,4,2,2,3
Student 32,1,2,1,1,4,4,2,1,5
Student 33,5,3,2,2,1,5,3,3,4
Student 34,4,2,2,4,3,4,1,3,5
Student 35,1,2,4,2,5,3,2,1,4
Student 36,3,2,2,2,2,2,2,2,3
Student 37,1,2,2,1,4,5,4,2,4
Student 38,3,2,2,2,4,3,5,1,4
Student 39,4,2,2,4,3,5,4,3,5
Student 40,5,2,1,1,5,4,1,1,4
Student 41,2,4,2,2,4,4,5,1,4
Student 42,2,2,1,1,3,4,5,1,4
Student 43,4,4,2,1,2,5,4,2,5
Student 44,3,2,1,1,3,5,2,1,5
Student 45,3,4,3,2,4,4,3,3,5
Student 46,2,3,1,1,3,4,5,1,5
Student 47,1,2,5,2,5,4,1,1,4
Student 48,1,3,1,2,4,4,3,3,5
Student 49,1,3,4,1,3,2,5,3,5
